房源标题,网页网址,性别要求,房屋类型,合租/整租,地址,每月租金,出租时长,时间,学校,出租方式,房源,联系方式
大圍雲疊花園 近大围火车站 四房连大厅 欢迎查询,https://www.gangpiaoquan.com/Rent/info/id/113371.html,男女皆可,其他,整租,新界/大围/沙田,19800.0,长租,2024-08-07,港中文,,港漂圈,微信 DDlam812
三房 好運中心最優質单位 齐家俬,https://www.gangpiaoquan.com/Rent/info/id/113370.html,女性,其他,整租,新界/大围/沙田,19500.0,长租,2024-08-07,港中文,,港漂圈,微信 DDlam812
大圍雲疊花園 近大围火车站 四房连大厅 欢迎查询,https://www.gangpiaoquan.com/Rent/info/id/113364.html,男女皆可,其他,整租,新界/大围/沙田,19800.0,长租,2024-08-06,港中文,,港漂圈,微信 DDlam812
三房 好運中心最優質单位 齐家俬,https://www.gangpiaoquan.com/Rent/info/id/113357.html,女性,其他,整租,新界/大围/沙田,19500.0,长租,2024-08-06,港中文,,港漂圈,微信 DDlam812
三房 好運中心最優質单位 齐家俬,https://www.gangpiaoquan.com/Rent/info/id/113331.html,男女皆可,其他,整租,新界/大围/沙田,19500.0,长租,2024-08-04,港中文,,港漂圈,微信 DDlam812
近大围火车站 四房连大厅 欢迎查询,https://www.gangpiaoquan.com/Rent/info/id/113330.html,男性,其他,整租,新界/大围/沙田,19800.0,长租,2024-08-04,港中文,,港漂圈,微信 DDlam812
三房 好運中心最優質单位 齐家俬,https://www.gangpiaoquan.com/Rent/info/id/113314.html,男女皆可,酒店式公寓,整租,新界/大围/沙田,19500.0,长租,2024-08-03,港中文,,港漂圈,微信 DDlam812
8月起租沙田豪宅，房东直租免中介费，带独卫单间有家具6800起，基本费用全包，洗衣机带烘干，邻近中/城/浸*仅此一套,https://www.gangpiaoquan.com/Rent/info/id/113102.html,男女皆可,其他,整租,新界/大围/沙田,6800.0,长租,2024-08-01,港中文,,港漂圈,微信 beyond_dada
大围名城免佣出租单人房【近中大城大理大】,https://www.gangpiaoquan.com/Rent/info/id/112895.html,女性,洋楼,合租,新界/大围/沙田,5000.0,长租,2024-08-01,港中文,,港漂圈,微信 85246559618
学生租 二房大圍金狮花园 齐家俬,https://www.gangpiaoquan.com/Rent/info/id/113399.html,男女皆可,其他,整租,新界/大围/沙田,14000.0,长租,2024-07-29,港中文,,港漂圈,微信 DDlam812
找寻女室友一起住村屋,https://www.gangpiaoquan.com/Rent/info/id/112970.html,女性,村屋,合租,新界/大围/沙田,5500.0,长租,2024-07-15,港中文,,港漂圈,微信 yoki_yiu
雲匯 白石角科學園6月預租,https://www.gangpiaoquan.com/Rent/info/id/112995.html,男女皆可,其他,整租,新界/大围/沙田,24000.0,长租,2024-07-01,港中文,,港漂圈,微信 wc1829137333
雲匯 白石角科學園6月預租,https://www.gangpiaoquan.com/Rent/info/id/112997.html,男女皆可,其他,整租,新界/大围/沙田,24000.0,长租,2024-06-30,港中文,,港漂圈,微信 wc1829137333
大围文礼阁单间求室友！,https://www.gangpiaoquan.com/Rent/info/id/113274.html,男女皆可,洋楼,合租,新界/大围/沙田,6250.0,长租,2024-06-24,港中文,,港漂圈,微信 Yitao_MAO
金狮花园 免中介费,https://www.gangpiaoquan.com/Rent/info/id/113404.html,男女皆可,洋楼,合租,新界/大围/沙田,5600.0,长租,2024-06-01,港中文,,港漂圈,微信 v92211329
沙田第一城出租,https://www.gangpiaoquan.com/Rent/info/id/113325.html,女性,洋楼,整租,新界/大围/沙田,11000.0,长租,2024-05-18,港中文,,港漂圈,WhatsApp 67504105
4800沙田第一城主卧！短租！,https://www.gangpiaoquan.com/Rent/info/id/113205.html,女性,洋楼,合租,新界/大围/沙田,4800.0,短租,2024-05-15,港中文,,港漂圈,微信 Koi_creamumua
转租大围高层山景单人间,https://www.gangpiaoquan.com/Rent/info/id/112790.html,女性,其他,短租,新界/大围/沙田,5000.0,短租,2024-05-15,港中文,,港漂圈,微信 15853229798
精装海景高层洋房转租，长短租整合租均可，短租可小刀,https://bbs.gter.net/thread-2604594-1-1.html,男女皆可,洋楼,整租,海滨南岸,19000,0,2024-05-10,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:-
翰林峰中高层单人studio（6.24-8.24转租）,https://bbs.gter.net/thread-2604600-1-1.html,男女皆可,酒店式公寓,整租,-,18000,2个月,2024-05-10,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:-
靠近香港中文大学、城大、浸会，沙田第一城，家电齐全、免中介费、领包入住,https://bbs.gter.net/thread-2604603-1-1.html,男性,洋楼,合租,沙田第一城,3500,3个月,2024-05-10,港中文,中介/其他,寄托天下,电话:-/ 微信:-/ wh:-
沙田第一城1m5大床带飘窗主卧转租（女）5-8月任选,https://bbs.gter.net/thread-2604601-1-1.html,女性,洋楼,合租,沙田第一城,4600,3个月,2024-05-10,港中文,房东,寄托天下,电话:92834708/ 微信:-/ wh:92834707
香港大学地铁站C2口，独立卫浴厨房台，豪华装修套房出租,https://bbs.gter.net/thread-2604610-1-1.html,男女皆可,洋楼,整租,建益大楼,7800,3个月,2024-05-10,,房东,寄托天下,电话:-/ 微信:yuun_hh/ wh:-
低价转海湾轩5.27-9.11中高层海景客厅,https://bbs.gter.net/thread-2604605-1-1.html,女性,酒店,合租,-,4500,3个月,2024-05-10,,个人,寄托天下,电话:-/ 微信:-/ wh:-
[港科大] [2024 FALL] ·[男生] ·[房東出租][法式小洋房優質生活] [獨立房間][拎包入住][免佣金],https://bbs.gter.net/thread-2604606-1-1.html,男性,村屋,合租,御花园,10000,0,2024-05-10,,房东,寄托天下,电话:66101319/ 微信:-/ wh:-
【中大教大送一个月】生活气息超浓！粉岭中心靠近粉岭地铁站15分钟可直达香港中文大学、教育大学! 双厕、卫浴干湿分离，环境超好！,https://bbs.gter.net/thread-2604608-1-1.html,男女皆可,屋苑,合租,粉岭中心,5680,1年,2024-05-10,港中文,房东,寄托天下,电话:-/ 微信:-/ wh:-
业主直租，中介免打扰,https://bbs.gter.net/thread-2604589-1-1.html,男女皆可,洋楼,整租,-,13500,0,2024-05-10,,房东,寄托天下,电话:-/ 微信:-/ wh:67619372
業主免傭：寵物盤，租金可平,https://bbs.gter.net/thread-2604592-1-1.html,男女皆可,洋楼,整租,-,13000,0,2024-05-10,,房东,寄托天下,电话:62191466/ 微信:-/ wh:62191466
大埔嵐山 近教育大學中大 單間,https://hongkong365.cn/house/6490f38272b99a38c7670a13,女性,洋楼,合租, 大埔/火炭/太和-凤园路(岚山)[公交站],4500,可议,2024-05-10,港中文,房东,花生香港,
太子旺角站附近，房东直租，两房一厅，有电梯，家私齐全，现在起租,https://bbs.gter.net/thread-2604588-1-1.html,男女皆可,洋楼,整租,太兴旺角通菜街分店,13500,1年,2024-05-10,,房东,寄托天下,电话:-/ 微信:-/ wh:-
科学园 逸珑湾三室一厅找男生中单间室友，大单间是港中文男生，家具全齐全新，水电平摊，网络管理费全包，厅长也找，4500，可以只租半年，10个月，1年都可以，近港,https://bbs.gter.net/thread-2604579-1-1.html,男性,洋楼,合租,逸珑湾8,7000,0,2024-05-10,港中文,个人,寄托天下,电话:67051355/ 微信:-/ wh:67051355
科学园 嘉熙 2室一厅找单间租客，不混住，大单间8300，小单间7300，家具齐全，拎包入住，水电平摊，可以只租半年，10个月，一年都可以，近港中文，科学园，,https://bbs.gter.net/thread-2604576-1-1.html,男女皆可,洋楼,合租,嘉熙,7300,0,2024-05-10,港中文,个人,寄托天下,电话:67051355/ 微信:-/ wh:67051355
將軍澳中心 單間 合租 限女生,https://bbs.gter.net/thread-2604570-1-1.html,女性,洋楼,合租,将军澳中心,7800,1年,2024-05-10,,个人,寄托天下,电话:-/ 微信:-/ wh:95873555
港大地铁附近独立套房短租或转租,https://bbs.gter.net/thread-2604567-1-1.html,男女皆可,洋楼,整租,amaze(永华大楼店),7900,2个月,2024-05-10,,个人,寄托天下,电话:-/ 微信:-/ wh:-
四小龍大兩房單位,https://bbs.gter.net/thread-2604562-1-1.html,男女皆可,屋苑,整租,-,18500,0,2024-05-10,,房东,寄托天下,电话:64073569/ 微信:-/ wh:64073569
一米五大床，主卧低价转租！,https://bbs.gter.net/thread-2604561-1-1.html,男性,屋苑,合租,嘉景花园,5500,3个月,2024-05-10,,中介/其他,寄托天下,电话:69423527/ 微信:-/ wh:69423527
豪华装修干净套房含泪出租,https://bbs.gter.net/thread-2604560-1-1.html,男女皆可,唐楼,整租,双喜楼,6000,0,2024-05-10,,中介/其他,寄托天下,电话:46310626/ 微信:-/ wh:46310626
港生.港漂優質房,https://bbs.gter.net/thread-2604558-1-1.html,男女皆可,唐楼,整租,庙街夜市,6500,1年,2024-05-10,,房东,寄托天下,电话:55195661/ 微信:-/ wh:55195661
【$3980起拎包入住豪华小区，男女不限】拎包入住粉岭碧湖花园 ，朝南中层！小区自带商场及各类配套，带会所/自习室/健身房/泳池，超高性价比～,https://bbs.gter.net/thread-2604612-1-1.html,男女皆可,洋楼,合租,香港中文大学,3980,1年,2024-05-10,港中文,房东,寄托天下,电话:-/ 微信:-/ wh:-
坑口 全新 大房 找舍友 近科大,https://bbs.gter.net/thread-2604611-1-1.html,女性,屋苑,合租,新宝城4座,6000,1年,2024-05-10,,个人,寄托天下,电话:iamdoubleann-/ 微信:-/ wh:53472202
24fall女生粉岭名都找厅长大房室友,https://bbs.gter.net/thread-2604636-1-1.html,女性,洋楼,合租,-,3050,1年,2024-05-10,港中文,个人,寄托天下,电话:-/ 微信:-/ wh:-
【科大送一个月】独立空调 科大同学首选 10分钟到科大 楼下步行到地铁 豪华双人套间4k+ 客厅宽敞 拎包入住 各大商城任君挑选,https://bbs.gter.net/thread-2604613-1-1.html,女性,屋苑,合租,南丰广场,4680,11个月,2024-05-10,,房东,寄托天下,电话:-/ 微信:-/ wh:-
金狮花园低价转租,https://bbs.gter.net/thread-2604631-1-1.html,男女皆可,洋楼,整租,金狮花园 2期,5000,9个月,2024-05-10,,中介/其他,寄托天下,电话:18213866780/ 微信:-/ wh:-
科学园 逸珑湾三室一厅找男生中单间室友，大单间是港中文男生，家具全齐全新，水电平摊，网络管理费全包，厅长也找，4500，,https://www.gangpiaoquan.com/Rent/info/id/113403.html,男性,洋楼,合租,新界/大围/沙田,7000.0,长租,2024-05-10,港中文,,港漂圈,微信 Maxwell67051355
科学园 嘉熙 2室一厅找单间租客，不混住，大单间8300，小单间7300，厅长4500，家具齐全，拎包入住，水电平摊，可,https://www.gangpiaoquan.com/Rent/info/id/113402.html,男女皆可,洋楼,合租,新界/大围/沙田,7300.0,长租,2024-05-10,港中文,,港漂圈,微信 Maxwell67051355
港硕找室友，粉岭名都，超低价,https://bbs.gter.net/thread-2604642-1-1.html,女性,洋楼,合租,粉岭名都,3050,1年,2024-05-10,港中文,个人,寄托天下,电话:-/ 微信:-/ wh:-
香港大学附近温馨单间招租,https://bbs.gter.net/thread-2604639-1-1.html,女性,洋楼,合租,博仕台,11500,1年,2024-05-10,,个人,寄托天下,电话:-/ 微信:-/ wh:-
城市大学和浸会大学的同学看过来~,https://bbs.gter.net/thread-2604638-1-1.html,男女皆可,屋苑,整租,-,6500,1年,2024-05-10,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:-
【独栋独卫stdio】独卫双人studio，男女不混住 30秒到西营盘地铁站 香港大学天选公寓 仅限香港大学同学 拎包入住 性价比超高独卫,https://bbs.gter.net/thread-2604637-1-1.html,男女皆可,洋楼,整租,兆安大厦,6480,0,2024-05-10,,房东,寄托天下,电话:-/ 微信:-/ wh:-
將軍澳中心 兩室一廳 合租，限女生,https://hongkong365.cn/house/663d031f63ca702c92165661,女性,洋楼,合租, 将军澳/坑口/宝琳-將軍澳中心，中層,7800,可议,2024-05-10,nan,个人,花生香港,
全网最有性价比的香港大学通勤仅1站！带全屋家具！无中介费！,https://bbs.gter.net/thread-2604634-1-1.html,男性,洋楼,合租,兆安大厦,6480,1年,2024-05-10,,房东,寄托天下,电话:-/ 微信:-/ wh:-
找大房室友，超平靚海景双人房油塘，只住两人，手续齐全,https://bbs.gter.net/thread-2604633-1-1.html,女性,洋楼,合租,-,9000,1年,2024-05-10,,个人,寄托天下,电话:-/ 微信:-/ wh:-
港岛东北角炮台山洋楼3房1厅招小房女生室友！港岛低价超值,https://bbs.gter.net/thread-2604628-1-1.html,女性,洋楼,合租,炮台山[地铁站],4800,0,2024-05-10,,个人,寄托天下,电话:66747534/ 微信:-/ wh:-
【中大教大主卧】粉岭中心靠近粉岭地铁站3站可直达香港中文大学、教育大学! 双厕、卫浴干湿分离，环境超好！,https://bbs.gter.net/thread-2604614-1-1.html,男女皆可,屋苑,合租,粉岭中心,5780,0,2024-05-10,港中文,房东,寄托天下,电话:-/ 微信:-/ wh:-
海湾轩，海景客厅出租，5400港币/月,https://bbs.gter.net/thread-2604626-1-1.html,男性,酒店式公寓,合租,香港海湾轩(日租公寓),5400,5个月,2024-05-10,,个人,寄托天下,电话:-/ 微信:-/ wh:-
离港出闲置物品！将军澳自取,https://bbs.gter.net/thread-2604624-1-1.html,男女皆可,洋楼,合租,将军澳中心商场,150,0,2024-05-10,,中介/其他,寄托天下,电话:-/ 微信:-/ wh:54254554
仅剩一间女生双人间！港理工/港都会通勤黄金地段公寓，巴士港铁直达！近西九龙高铁站！带电梯！采光好！有烘干机带电磁炉，拎包即可入住！,https://bbs.gter.net/thread-2604623-1-1.html,女性,洋楼,合租,联德大厦,4180,1年,2024-05-10,,房东,寄托天下,电话:-/ 微信:-/ wh:-
港理工附近单间转租,https://bbs.gter.net/thread-2604621-1-1.html,男性,唐楼,合租,宝石戏院大厦B座,4000,2个月,2024-05-10,,个人,寄托天下,电话:62069347/ 微信:-/ wh:jjgl4ever
【理工城大浸汇女生】女生专属 近港理 城大 都会 浸会 港大，步行到港理 地铁口超近 高级单人间5+ 采光好有电梯 拎包入住 无中介费,https://bbs.gter.net/thread-2604619-1-1.html,女性,洋楼,合租,联德大厦,5680,0,2024-05-10,,房东,寄托天下,电话:-/ 微信:-/ wh:-
【独卫stdio】30秒到西营盘地铁站 香港大学天选公寓 仅限香港大学同学 拎包入住 性价比超高独卫,https://bbs.gter.net/thread-2604618-1-1.html,男女皆可,洋楼,整租,兆安大厦,10980,1年,2024-05-10,,房东,寄托天下,电话:-/ 微信:-/ wh:-
"坑口東港城科大學生租，三房一廁，起租8.1.租19500
全部很新傢俱家電，有清晰2年的視頻，加我微信",https://bbs.gter.net/thread-2604617-1-1.html,男女皆可,屋苑,整租,东港城,19500,1年,2024-05-10,,房东,寄托天下,电话:-/ 微信:-/ wh:-
九龙佐敦出新装修豪华单人间,https://bbs.gter.net/thread-2604616-1-1.html,男性,唐楼,合租,油尖旺区油麻地翠玉楼(廣東道),7000,0,2024-05-10,,个人,寄托天下,电话:-/ 微信:-/ wh:-
寶琳站，科大學生宿舍三房一廁起租7.30.租19500,https://bbs.gter.net/thread-2604615-1-1.html,男女皆可,屋苑,整租,茵怡花园,19500,1年,2024-05-10,,房东,寄托天下,电话:-/ 微信:-/ wh:-
湾仔軒尼詩道366号加冕楼高层光猛街窗独立卫浴智能化设备套房（已租出）,https://hongkong365.cn/house/65d308bd3d937a5f984f5614,男女皆可,洋楼,整租, 湾仔/铜锣湾-加冕廔,8200,可议,2024-05-10,nan,中介/其他,花生香港,
【转租】【性价比】旺角月圆大厦4200,https://hongkong365.cn/house/661d53ca7ef30f5aa56285b4,男女皆可,洋楼,合租, 油麻地/旺角/太子-月圆大厦,4200,可议,2024-05-10,nan,个人,花生香港,
旺角高端公寓,https://hongkong365.cn/house/6625224ab40e551401430232,男性,学生公寓,整租, 油麻地/旺角/太子-David Hall Personnel Consultant,4000,可议,2024-05-10,nan,房东,花生香港,
湾仔两房 全屋家电家私齐 阳光好 近地铁,https://hongkong365.cn/house/663e0fcf3e9c9d7c0435facd,男女皆可,洋楼,整租, 湾仔/铜锣湾-湾仔,14500,可议,2024-05-10,nan,中介/其他,花生香港,
HKu 两房 可住三人,https://hongkong365.cn/house/663df9883412224c5c1ed901,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-荔安大厦,13500,可议,2024-05-10,nan,中介/其他,花生香港,
香港大學站,https://hongkong365.cn/house/663df97c3e9c9d7c0435fa9d,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-中亚大楼,19000,可议,2024-05-10,nan,中介/其他,花生香港,
红磡湾中心小房,https://hongkong365.cn/house/663df86a3412224c5c1ed8fd,女性,洋楼,合租, 红磡/黄埔-红磡湾中心,6300,可议,2024-05-10,nan,房东,花生香港,
沙田第一城长期合租（8月到明年7月）,https://hongkong365.cn/house/663df5d73412224c5c1ed8fc,男性,洋楼,合租, 大围/沙田-沙田第一城,3200,可议,2024-05-10,港中文,个人,花生香港,
港大B1口-暑假低价转租-女生单人卧室,https://hongkong365.cn/house/663df592b195600cd16a1289,女性,唐楼,合租, 西营盘/坚尼地城/石塘咀-香港大学[地铁站]-B1出入口,5300,可议,2024-05-10,nan,个人,花生香港,
低价转租大围名城主卧双人间的一个床位（也可整租）,https://hongkong365.cn/house/66233092c2b2a70f6e162b0f,男性,洋楼,合租, 大围/沙田-Festival City,3800,可议,2024-05-10,港中文,个人,花生香港,
大围东铁线附近找下一任租客!,https://hongkong365.cn/house/663df0643412224c5c1ed8f5,男女皆可,洋楼,整租, 大围/沙田-金狮花园 2期,13000,可议,2024-05-10,港中文,房东,花生香港,
香港大学西营盘3居室单间7200转租,https://hongkong365.cn/house/663de8bf3412224c5c1ed8d6,男女皆可,洋楼,合租, 西营盘/坚尼地城/石塘咀-西营盘[地铁站]-C出入口,6300,可议,2024-05-10,nan,个人,花生香港,
港大地铁口附近房间出租,https://hongkong365.cn/house/663de89f3412224c5c1ed8d5,女性,洋楼,整租, 西营盘/坚尼地城/石塘咀-厚福大楼,5000,可议,2024-05-10,nan,房东,花生香港,
海滨南岸厅长转租,https://hongkong365.cn/house/663de305b195600cd16a1256,女性,洋楼,合租, 红磡/黄埔-海滨南岸第3座,3000,可议,2024-05-10,nan,个人,花生香港,
大埔仔村40平米8500近科大,https://hongkong365.cn/house/65a8ae46749aa712315ec915,男女皆可,村屋,整租, 大埔仔/西贡-清水湾道，大埔仔村[公交站],8500,可议,2024-05-10,nan,个人,花生香港,
西營盤短租女生单间3650元包括水電网費,https://hongkong365.cn/house/6613a713cec4345bb85e3f0f,女性,洋楼,合租, 西营盘/坚尼地城/石塘咀-华美达海景酒店,3650,0个月,2024-05-10,nan,房东,花生香港,
中大教大女生商场东铁地铁巴士站旁24小时保安包全新家私家电,https://hongkong365.cn/house/658550911c870872f3384420,女性,洋楼,合租, 粉岭/上水-粉岭中心,4500,可议,2024-05-10,港中文,中介/其他,花生香港,
业主直租免佣,https://hongkong365.cn/house/663d76e50e4e634d5232029f,男女皆可,洋楼,整租, 荃湾-荃丰大厦,13500,0个月,2024-05-10,nan,房东,花生香港,
［两室公寓］港铁站上盖，多路巴士线直达九龙各区校园，採光度高,https://hongkong365.cn/house/6630c720b58ef36afa4e403a,男女皆可,洋楼,整租, 油麻地/旺角/太子-香港兆丰公寓(兆丰大厦店),14200,可议,2024-05-10,nan,房东,花生香港,
大围金狮花园二期超高层单间或整套出租,https://hongkong365.cn/house/663871a21b35d80f891f8353,女性,洋楼,整租, 大围/沙田-金狮花园 2期,13800,可议,2024-05-10,港中文,房东,花生香港,
沙田有阳台和落地窗的大房,https://hongkong365.cn/house/65d428d49229b7605457c105,男性,村屋,合租, 大围/沙田-沙田头路与车公庙路交叉路口,5500,可议,2024-05-10,港中文,个人,花生香港,
太子附近高级男生单间公寓转租,https://hongkong365.cn/house/663afa2445957b57f443e426,男性,学生公寓,合租, 油麻地/旺角/太子-立方国际青年公寓太子店,8000,可议,2024-05-10,nan,个人,花生香港,
拎包入住，家电齐全，距湾仔地铁站300米，14000/月,https://hongkong365.cn/house/663e110b3e9c9d7c0435facf,男女皆可,洋楼,整租, 湾仔/铜锣湾-新春园大厦,14000,可议,2024-05-10,nan,个人,花生香港,
单人间近中大恒大教大科学园粉岭性价比采光好,https://hongkong365.cn/house/663d0c250e4e634d52320258,男女皆可,唐楼,合租, 粉岭/上水-宝华楼,3900,可议,2024-05-10,港中文,房东,花生香港,
近港中文！低价转租可续租（即日起至8.20,https://hongkong365.cn/house/6614e3137d3374169a2b7493,男女皆可,洋楼,合租, 粉岭/上水-One innovale,4000,可议,2024-05-10,港中文,个人,花生香港,
香港大学地铁C2口单间出租,https://hongkong365.cn/house/65d17290d44d705b9d29532c,男性,洋楼,合租, 西营盘/坚尼地城/石塘咀-新城大楼,6500,可议,2024-05-10,nan,房东,花生香港,
港大B2口附近，西宝城电梯边上单间出租,https://hongkong365.cn/house/663e35bb3546f84dff00b3b1,女性,洋楼,合租, 西营盘/坚尼地城/石塘咀-厚福大楼,3900,可议,2024-05-10,nan,房东,花生香港,
又一居短租独卫主臥单间,https://hongkong365.cn/house/66375bea6fb21f12e726f854,女性,洋楼,合租, 石硖尾/九龙塘-又一居(B场),4500,可议,2024-05-10,nan,中介/其他,花生香港,
近港大410尺3房1廳家電齊全拎包入住租23500,https://hongkong365.cn/house/662e4a219790695b2273802f,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-第三街游乐场,23500,可议,2024-05-10,nan,中介/其他,花生香港,
转租短租港大B2口超近高性价比独立房间！,https://hongkong365.cn/house/663e2f973546f84dff00b3a3,男女皆可,学生公寓,合租, 薄扶林-新安大楼,7200,可议,2024-05-10,nan,个人,花生香港,
近理工，港大房東直租。大型會所免費健身室，自修室等,https://hongkong365.cn/house/647b424658b996387a35a3fc,男女皆可,洋楼,合租, 红磡/黄埔-崇安街,8800,可议,2024-05-10,nan,房东,花生香港,
日出康城首都6座次卧转租,https://hongkong365.cn/house/663e25b23e9c9d7c0435fb07,男女皆可,洋楼,合租, 康城-首都6座,4700,0个月,2024-05-10,nan,个人,花生香港,
坚尼地城男生单人间出租,https://hongkong365.cn/house/663e251cd5690027da67a2b7,男性,洋楼,合租, 西营盘/坚尼地城/石塘咀-华宝大厦,6500,可议,2024-05-10,nan,个人,花生香港,
海滨南岸5座小房出租,https://hongkong365.cn/house/6639c6fdabd12168f87ef5f3,女性,学生公寓,合租, 红磡/黄埔-海滨南岸第5座,4800,可议,2024-05-10,nan,个人,花生香港,
5-8月好房转租！,https://hongkong365.cn/house/663e233ad5690027da67a2b1,男女皆可,洋楼,整租, 大围/沙田-金狮花园 2期,10000,可议,2024-05-10,港中文,个人,花生香港,
康城男生单间转租,https://hongkong365.cn/house/663e1e0d3e9c9d7c0435fae6,男性,学生公寓,合租, 康城-峻滢2期,7000,可议,2024-05-10,nan,个人,花生香港,
HKU 拎包入住 两房,https://hongkong365.cn/house/663e187ed5690027da67a299,男女皆可,洋楼,整租, 西营盘/坚尼地城/石塘咀-均益大厦第三期,13800,可议,2024-05-10,nan,中介/其他,花生香港,
超低价！港大B1口5到8月短租,https://hongkong365.cn/house/66156f81cec4345bb85e4320,女性,洋楼,合租, 西营盘/坚尼地城/石塘咀-均益大厦第二期,3500,可议,2024-05-10,nan,个人,花生香港,
大埔尾村屋下铺出租,https://hongkong365.cn/house/663d79a50e4e634d523202af,女性,村屋,合租, 大埔/火炭/太和-大埔尾村停车场,2000,可议,2024-05-10,港中文,个人,花生香港,
红磡大房独卫6000hkd转租,https://hongkong365.cn/house/663ddcbfb8a9e576664b72ee,女性,洋楼,合租, 红磡/黄埔-黄埔花园金柏苑,6000,可议,2024-05-10,nan,个人,花生香港,
沙田大房带阳台落地窗，近城大，地铁站,https://hongkong365.cn/house/6639866d1a531538cd223552,男性,村屋,合租, 大围/沙田-李屋村第一花园,5500,可议,2024-05-10,港中文,个人,花生香港,
红磡芜湖街,https://hongkong365.cn/house/65ed4c397c1b357f284d7b29,男女皆可,唐楼,整租, 红磡/黄埔-忠信药房,160,可议,2024-05-10,nan,个人,花生香港,
油麻地小房｜萨摩耶做室友,https://hongkong365.cn/house/663d9d2cbc45c209dd25e211,女性,洋楼,合租, 油麻地/旺角/太子-金堂大厦,6500,可议,2024-05-10,nan,个人,花生香港,
近港大A口独享港大view山景阳台薄扶林63号新楼超高性价比转租,https://hongkong365.cn/house/66038cdfab92052d1e2edfb9,女性,酒店式公寓,合租, 西营盘/坚尼地城/石塘咀-西环,5900,可议,2024-05-10,nan,个人,花生香港,
红磡马头围道平租！（同时有多个不同尺寸和价钱的套房单位在放租）（业主直租，免中介费！）（新装修+冷热齐全）,https://hongkong365.cn/house/661aa92d56860c64b6031836,男女皆可,唐楼,整租, 红磡/黄埔-红磡马头围道122号,4300,可议,2024-05-10,nan,房东,花生香港,
