参数3_链接文本,参数4_链接地址,rent number
中大旁性价比村屋转租 为什么上传不了视频？,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602527&extra=page%3D5%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
「近中大」粉嶺名都粉岭名都嘉丽阁高层三房个人或四人成团，只限女性整套出租/分租，免佣金$18500/月，年繳。（包差饷管理费）齐家电，带包即入住，欢迎查询,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602513&extra=page%3D5%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,18500.0
【$3980起拎包入住豪华小区，快速通达地铁粉岭站】粉岭碧湖花园 ，朝南中层！楼下有小区商场！小区带会所/自习室/健身房/泳池，性价比超高～,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602512&extra=page%3D5%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,3980.0
大围名城阳光大房暑期平价转租,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602510&extra=page%3D5%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
大围/显径租房,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602507&extra=page%3D5%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
【中大/教城浸理大】单间，采光宽敞，空气好，包WIFI。【粉岭地铁上盖】轻松步行约5分钟，经室內商场到港铁，無懼风雨熱晒~~拎包入住。性价比高。一手房东直租免佣,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602458&extra=page%3D6%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
独立套房文英楼 近【理工、浸会、城大、港大、中大法律系、都会大学】H8400起，家具设施齐备，拎包入住，步行约2分钟到地铁站,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602449&extra=page%3D6%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,8400.0
沙田富豪花园近【中大、浸会、城大、理工、教大、港大、恒大】女生独立宿舍，设施齐全港币3700元起，交通方便拎包,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602447&extra=page%3D6%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,3700.0
大围名城3期独立女生【近中大/浸会/城大/港大/教大/都会/恒大】HK4800元起，家具电器齐备，拎包入住，入户大门隔壁就是地铁站,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602446&extra=page%3D6%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
独立套房有利大厦男女生均可，近【理工、浸会、城大、港大、中大法律系、都会】Hk8500元起，家具设施齐备，拎包入住，步行约1分钟到地铁站,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602443&extra=page%3D6%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,8500.0
文景楼男生独立房子近【理工、浸会、城大、港大、中大法律系、都会大学】Hk3600元起，家具设施齐备，拎包入住，步行约1分钟到地铁站,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602442&extra=page%3D6%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,3600.0
大围名城1期独立男生【近中大/浸会/城大/港大/教大/都会/恒大】HK4800元起，家具电器齐备，拎包入住，入户大门隔壁就是地铁站,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602441&extra=page%3D6%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
赤泥坪村口大房间出租，宽敞干净，离中大正门步行两分钟。家具齐全直接入住。租期可谈2024年5月1日起。,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602432&extra=page%3D6%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
大埔仔下村房间转租 短期 独立卫浴,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602422&extra=page%3D6%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
粉嶺名都学生公寓-适合中大同学入住,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602410&extra=page%3D6%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
沙田好运中心找男生小单间室友，水电网全包，家具齐全，室友是港大博士在科学园工作，可以只租半年，10个月，1年都可以，家具齐全，拎包入住，近港中文，科学园，港城市,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602409&extra=page%3D6%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
免佣金！中大科学园附近全新小区未住过！,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602408&extra=page%3D6%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
科学园 云汇找男生厅长室友，家具全齐全新，水电平摊，网络管理费全包，室友是安永和中大的同学，租期灵活，半年，10个月，一年都可以，近港中文和科学园，房东非常靠谱,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602404&extra=page%3D6%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
沙田第一城找单间租客，水电网全包，家具齐全，不混住，可以只租半年，10个月，一年，都可以，近威尔斯，科学园，港中文，港浸会，港城市，港恒生，港理工，家具齐全，房,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602396&extra=page%3D7%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
大围站1分钟 富嘉花园三室一厅找单间租客，不混住大单间7000，中单间6500，小单间5000，水电平摊，家具齐全，可以只租半年，10个月，一年都可以，近港中文,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602392&extra=page%3D7%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
沙田河畔花园找女生单间室友，客厅也找，水电网全包，家具齐全，室友是威尔斯博士，单间4500，厅长3000，近威尔斯，科学园，港中文，港浸会，港城市，港恒生，港理,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602391&extra=page%3D7%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,4500.0
沙田第一城找男生厅长室友，水电网全包，家具齐全，室友是港中文和浸会的学生，可以只租半年，10个月，1年都可以的，房东非常靠谱，租期也很灵活，近港中文，港城市，威,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602387&extra=page%3D7%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
沙田第一城找女生双人间室友，水电网全包，家具齐全，室友是城大的学生，可以只租半年，10个月，一年都可以，近威尔斯，科学园，港中文，港浸会，港城市，港理工，港恒生,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602386&extra=page%3D7%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
沙田翠华花园找女生单间室友，水电网全包，家具齐全，室友都是中大的女生，可以只租半年，10个月，一年都可以，近威尔斯，科学园，港中文，港浸会，港城市，港理工，港恒,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602385&extra=page%3D7%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
"太和站,太湖花園,屋苑管理,傢具电器齊全,合中大城大教院",https://bbs.gter.net/forum.php?mod=viewthread&tid=2602363&extra=page%3D7%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
沙田希尔顿中心找女生小单间室友，大单间也招，水电网全包，家具齐全，可以只租半年，10个月，一年，都可以，中单间室友是港中文的女生，近港中文，科学园，港城市，港理,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602339&extra=page%3D7%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
沙田第一城找女生厅长室友，水电网全包，家具齐全，室友是港中文和恒生大学女生，可以只租半年，10个月，一年都可以，家具齐全，拎包入住，近港中文，港浸会，威尔斯，科,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602338&extra=page%3D7%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
大围地铁站1分钟，富嘉花园整套转租，三室一厅骨折价转租到9月，随时起租，可以只租3个月，半年都可以，水电网全包，家具齐全，拎包入住，租期灵活，房东十分靠谱，近各,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602337&extra=page%3D7%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
沙田第一城好房出租，拎包入住,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602320&extra=page%3D7%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
【马上开始 限女生】骨折价转租大埔墟富雅花园阳光大房5-7月，距地铁站200米，超近商场街市交通方便，一站地铁到中大楼下小巴直达教大,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602318&extra=page%3D7%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
【已出租】中大，城大，理大招男室友，沙田市中心,https://bbs.gter.net/forum.php?mod=viewthread&tid=2524558&extra=page%3D500%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
《合中大/教大/理大》大埔墟套房出租,https://bbs.gter.net/forum.php?mod=viewthread&tid=2524497&extra=page%3D500%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
粉岭中心高層出租一个单间（1-2人住）,https://bbs.gter.net/forum.php?mod=viewthread&tid=2524453&extra=page%3D500%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
工作党 男 沙田附近找室友,https://bbs.gter.net/forum.php?mod=viewthread&tid=2524414&extra=page%3D500%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
沙田3分鐘到港鐵兩房出租一_,https://bbs.gter.net/forum.php?mod=viewthread&tid=2524396&extra=page%3D500%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
大围，金狮花园，单间出租，近 城大 中大,https://bbs.gter.net/forum.php?mod=viewthread&tid=2524319&extra=page%3D500%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
大围名城房间出租??水电津贴????交通便利????4000起????单人房 双人房 欢迎查询????,https://bbs.gter.net/forum.php?mod=viewthread&tid=2524276&extra=page%3D500%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,4000.0
［近中大］~赤坭坪村屋出租單間,https://bbs.gter.net/forum.php?mod=viewthread&tid=2524250&extra=page%3D500%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
"【中大、浸大、城大、理大】女生的最佳选择！
    铁路沿线的房子",https://bbs.gter.net/forum.php?mod=viewthread&tid=2524151&extra=page%3D500%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
今月至抵價$4500【中大精选】理大 #中大# 科学园# 马鞍山# 马鞍山中心单间,https://bbs.gter.net/forum.php?mod=viewthread&tid=2524126&extra=page%3D500%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,4500.0
